LEVEL_3_CO,LEVEL_NAME,AREA_SQKM,TOTAL,RELATIVE,RICHNESS,RANGE_MEAN,RANGE_MEDIAN,ENDEMISM_T,ENDEMISM_R,BIEN_OCCUR,GDP_SUM,GDP_CAPITA,ROAD_DENSITY,POP_COUNT,POP_DENSITY,SECURITY,RESEARCH_EXP,EDUCATION_EXP
KAN,Kansas,212295.87,1052,0.858075041,1226,33.19,27,2,0.002,0.81,195.215612,72050.96,222.14,2709410.19,12.76,2.299636364,2.754861,4.946395
KAZ,Kazakhstan,2721513.51,2607,0.576005303,4526,16.21,6,600,0.133,0.12,79.388906,4957.59,114.50,16013596.42,5.88,2.164,0.170032,3.049107136
KEG,Kerguelen,7456.79,21,0.807692308,26,11.46,10,1,0.038,0.88,0,0.00,1.59,129.97,0.02,1.785090909,2.20872,5.557332007
KEN,Kenya,585749.65,2872,0.56591133,5075,15.57,8,353,0.07,0.37,36.89529,1040.99,171.74,35442586.25,60.51,2.314363636,0.78577,5.780124988
KER,Kermadec Is.,50.32,75,0.824175824,91,21.31,7,15,0.165,0.56,0,0.00,0.00,0.00,0.00,1.392090909,1.21692,6.417572093
KGZ,Kirgizistan,199752.63,1804,0.546335554,3302,15.09,5,426,0.129,0.10,4.237844,671.21,146.50,6313778.55,31.61,2.312636364,0.144181,5.469681892
KHA,Khabarovsk,821018.13,999,0.773219814,1292,25.62,13,29,0.022,0.09,7.848992,4920.39,15.00,1595195.89,1.94,2.821090909,1.086097,3.690385385
KOR,Korea,220609.68,2075,0.799614644,2595,18.65,7,212,0.082,0.26,1497.325092,21949.12,684.65,68218004.60,309.22,2.396633174,NA,NA
KRA,Krasnoyarsk,2378742.62,1277,0.745475773,1713,29.42,18,69,0.04,0.43,21.724646,8453.55,11.36,2569885.49,1.08,2.821090909,1.086097,3.690385385
KRI,Kriti,8238.23,1234,0.785486951,1571,25.67,19,179,0.114,0.58,14.628144,23646.24,739.31,618624.40,75.09,2.056454545,0.801913,3.374982499
KRY,Krym,25626.16,1406,0.76,1850,30.37,24.5,91,0.049,0.58,2.58874,1046.37,371.83,2474021.50,96.54,2.821090909,1.086097,3.690385385
KTY,Kentucky,104324.47,1503,0.878433665,1711,30.49,25,1,0.001,0.39,260.230376,60052.13,496.15,4333407.92,41.54,2.299636364,2.754861,4.946395
